Click Location X,Click Location Y,Center Location X,Center Location Y
615.4859,253.7211,616.2036,236.5
247.599,238.6212,247.7964,236.5
605.877,301.766,602.1819,307.0414
262.6988,169.9856,261.8181,165.9586
559.2047,359.4199,562.2516,366.8435
297.0166,105.4681,301.7484,106.1565
497.4326,411.583,502.4916,406.8019
353.2978,57.42317,361.5083,66.19804
428.797,417.0739,432,420.8335
430.1697,46.44147,432,52.16649
354.6705,411.583,361.5084,406.8019
509.787,71.1503,502.4917,66.19807
310.7437,360.7926,301.7484,366.8435
571.5591,108.2135,562.2516,106.1565
261.3261,316.8658,261.8181,307.0414
593.5225,165.8675,602.1819,165.9586
