Click Location X,Click Location Y,Center Location X,Center Location Y
638.9035,236.5,616.2036,236.5
231.7949,226.8178,247.7964,236.5
596.4809,321.4052,602.1819,307.0414
281.6601,162.0218,261.8181,165.9586
544.3829,372.0503,562.2516,366.8435
306.2206,94.99144,301.7484,106.1565
514.6126,405.5655,502.4916,406.8019
347.899,71.15839,361.5083,66.19804
443.1639,433.1224,432,420.8335
435.7214,33.9193,432,52.16649
356.8301,391.4146,361.5084,406.8019
519.8224,55.51799,502.4917,66.19807
303.2437,363.8577,301.7484,366.8435
568.9434,99.46011,562.2516,106.1565
256.3555,295.3377,261.8181,307.0414
615.8316,153.8292,602.1819,165.9586
